Index,Company,Category,Indicator,IndicatorNr,IndicatorSuffix,Score,Score_Adjusted
2019,Bharti Airtel,G,G04b,4,b,0,0
2019,Bharti Airtel,G,G04c,4,c,0,0
2019,Bharti Airtel,G,G04d,4,d,0,0
2019,Bharti Airtel,G,G04e,4,e,NA,NA
2019,Bharti Airtel,G,G05,5,NA,25,25
2019,Bharti Airtel,G,G06a,6,a,19.45,19.45
2019,Bharti Airtel,G,G06b,6,b,NA,NA
2019,Bharti Airtel,F,F01a,1,a,50,50
2019,Bharti Airtel,F,F01b,1,b,NA,NA
2019,Bharti Airtel,F,F01c,1,c,NA,NA
2019,Bharti Airtel,F,F01d,1,d,NA,NA
2019,Bharti Airtel,F,F02a,2,a,0,0
2019,Bharti Airtel,F,F02b,2,b,NA,NA
2019,Bharti Airtel,F,F02c,2,c,NA,NA
2019,Bharti Airtel,F,F02d,2,d,NA,NA
2019,Bharti Airtel,F,F03a,3,a,26.67,26.67
2019,Bharti Airtel,F,F03b,3,b,NA,NA
2019,Bharti Airtel,F,F03c,3,c,NA,NA
2019,Bharti Airtel,F,F04a,4,a,NA,NA
2019,Bharti Airtel,F,F04b,4,b,NA,NA
2019,Bharti Airtel,F,F04c,4,c,NA,NA
2019,Bharti Airtel,F,F05a,5,a,0,0
2019,Bharti Airtel,F,F05b,5,b,0,0
2019,Bharti Airtel,F,F06,6,NA,0,0
2019,Bharti Airtel,F,F07,7,NA,0,0
2019,Bharti Airtel,F,F08,8,NA,0,0
2019,Bharti Airtel,F,F09,9,NA,25,25
2019,Bharti Airtel,F,F10,10,NA,6.25,6.25
2019,Bharti Airtel,F,F11,11,NA,0,0
2019,Bharti Airtel,F,F12,12,NA,NA,NA
2019,Bharti Airtel,F,F13,13,NA,NA,NA
2019,Bharti Airtel,P,P01a,1,a,33.33,33.33
2019,Bharti Airtel,P,P01b,1,b,NA,NA
2019,Bharti Airtel,P,P02a,2,a,0,0
2019,Bharti Airtel,P,P02b,2,b,NA,NA
2019,Bharti Airtel,P,P03a,3,a,33.33,33.33
2019,Bharti Airtel,P,P03b,3,b,NA,NA
2019,Bharti Airtel,P,P04,4,NA,37.5,37.5
2019,Bharti Airtel,P,P05,5,NA,25,25
2019,Bharti Airtel,P,P06,6,NA,0,0
2019,Bharti Airtel,P,P07,7,NA,0,0
2019,Bharti Airtel,P,P08,8,NA,0,0
2019,Bharti Airtel,P,P09,9,NA,NA,NA
2019,Bharti Airtel,P,P10a,10,a,7.14,7.14
2019,Bharti Airtel,P,P10b,10,b,0,0
2019,Bharti Airtel,P,P11a,11,a,0,0
2019,Bharti Airtel,P,P11b,11,b,0,0
2019,Bharti Airtel,P,P12,12,NA,0,0
2019,Bharti Airtel,P,P13,13,NA,50,50
2019,Bharti Airtel,P,P14,14,NA,0,0
2019,Bharti Airtel,P,P15,15,NA,0,0
2019,Bharti Airtel,P,P16,16,NA,NA,NA
2019,Bharti Airtel,P,P17,17,NA,NA,NA
2019,Bharti Airtel,P,P18,18,NA,100,100
2019,DeutscheTelekom,G,G01,1,NA,100,100
2019,DeutscheTelekom,G,G02,2,NA,33.33,33.33
2019,DeutscheTelekom,G,G03,3,NA,75,75
2019,DeutscheTelekom,G,G04a,4,a,83.33,83.33
2019,DeutscheTelekom,G,G04b,4,b,0,0
2019,DeutscheTelekom,G,G04c,4,c,0,0
2019,DeutscheTelekom,G,G04d,4,d,50,50
2019,DeutscheTelekom,G,G04e,4,e,NA,NA
2019,DeutscheTelekom,G,G05,5,NA,0,0
2019,DeutscheTelekom,G,G06a,6,a,44.44,44.44
2019,DeutscheTelekom,G,G06b,6,b,NA,NA
2019,DeutscheTelekom,F,F01a,1,a,100,100
2019,DeutscheTelekom,F,F01b,1,b,NA,NA
2019,DeutscheTelekom,F,F01c,1,c,NA,NA
2019,DeutscheTelekom,F,F01d,1,d,NA,NA
2019,DeutscheTelekom,F,F02a,2,a,37.5,37.5
2019,DeutscheTelekom,F,F02b,2,b,NA,NA
2019,DeutscheTelekom,F,F02c,2,c,NA,NA
2019,DeutscheTelekom,F,F02d,2,d,NA,NA
2019,DeutscheTelekom,F,F03a,3,a,26.67,26.67
2019,DeutscheTelekom,F,F03b,3,b,NA,NA
2019,DeutscheTelekom,F,F03c,3,c,NA,NA
2019,DeutscheTelekom,F,F04a,4,a,NA,NA
2019,DeutscheTelekom,F,F04b,4,b,NA,NA
2019,DeutscheTelekom,F,F04c,4,c,NA,NA
2019,DeutscheTelekom,F,F05a,5,a,0,0
2019,DeutscheTelekom,F,F05b,5,b,10,10
2019,DeutscheTelekom,F,F06,6,NA,0,0
2019,DeutscheTelekom,F,F07,7,NA,0,0
2019,DeutscheTelekom,F,F08,8,NA,0,0
2019,DeutscheTelekom,F,F09,9,NA,0,0
2019,DeutscheTelekom,F,F10,10,NA,9.38,9.38
2019,DeutscheTelekom,F,F11,11,NA,0,0
2019,DeutscheTelekom,F,F12,12,NA,NA,NA
2019,DeutscheTelekom,F,F13,13,NA,NA,NA
2019,DeutscheTelekom,P,P01a,1,a,100,100
2019,DeutscheTelekom,P,P01b,1,b,NA,NA
2019,DeutscheTelekom,P,P02a,2,a,0,0
2019,DeutscheTelekom,P,P02b,2,b,NA,NA
2019,DeutscheTelekom,P,P03a,3,a,83.33,83.33
2019,DeutscheTelekom,P,P03b,3,b,NA,NA
2019,DeutscheTelekom,P,P04,4,NA,75,75
2019,DeutscheTelekom,P,P05,5,NA,75,75
2019,DeutscheTelekom,P,P06,6,NA,70,70
2019,DeutscheTelekom,P,P07,7,NA,62.5,62.5
2019,DeutscheTelekom,P,P08,8,NA,75,75
2019,DeutscheTelekom,P,P09,9,NA,NA,NA
2019,DeutscheTelekom,P,P10a,10,a,85.71,85.71
2019,DeutscheTelekom,P,P10b,10,b,10,10
2019,DeutscheTelekom,P,P11a,11,a,45,45
2019,DeutscheTelekom,P,P11b,11,b,0,0
2019,DeutscheTelekom,P,P12,12,NA,0,0
2019,DeutscheTelekom,P,P13,13,NA,100,100
2019,DeutscheTelekom,P,P14,14,NA,8.33,8.33
2019,DeutscheTelekom,P,P15,15,NA,50,50
2019,DeutscheTelekom,P,P16,16,NA,NA,NA
2019,DeutscheTelekom,P,P17,17,NA,NA,NA
2019,DeutscheTelekom,P,P18,18,NA,100,100
2019,Etisalat,G,G01,1,NA,0,0
2019,Etisalat,G,G02,2,NA,0,0
2019,Etisalat,G,G03,3,NA,0,0
2019,Etisalat,G,G04a,4,a,0,0
2019,Etisalat,G,G04b,4,b,0,0
2019,Etisalat,G,G04c,4,c,0,0
2019,Etisalat,G,G04d,4,d,0,0
2019,Etisalat,G,G04e,4,e,NA,NA
2019,Etisalat,G,G05,5,NA,0,0
2019,Etisalat,G,G06a,6,a,22.22,22.22
2019,Etisalat,G,G06b,6,b,NA,NA
2019,Etisalat,F,F01a,1,a,83.33,83.33
2019,Etisalat,F,F01b,1,b,NA,NA
2019,Etisalat,F,F01c,1,c,NA,NA
2019,Etisalat,F,F01d,1,d,NA,NA
2019,Etisalat,F,F02a,2,a,0,0
2019,Etisalat,F,F02b,2,b,NA,NA
2019,Etisalat,F,F02c,2,c,NA,NA
2019,Etisalat,F,F02d,2,d,NA,NA
2019,Etisalat,F,F03a,3,a,80,80
2019,Etisalat,F,F03b,3,b,NA,NA
2019,Etisalat,F,F03c,3,c,NA,NA
2019,Etisalat,F,F04a,4,a,NA,NA
2019,Etisalat,F,F04b,4,b,NA,NA
2019,Etisalat,F,F04c,4,c,NA,NA
2019,Etisalat,F,F05a,5,a,0,0
2019,Etisalat,F,F05b,5,b,0,0
2019,Etisalat,F,F06,6,NA,0,0
2019,Etisalat,F,F07,7,NA,0,0
2019,Etisalat,F,F08,8,NA,16.67,16.67
2019,Etisalat,F,F09,9,NA,0,0
2019,Etisalat,F,F10,10,NA,12.5,12.5
